,,,,,,
"Pleasure Bay Beach, South Boston: Bacterial Water Quality 2023",,,,,,
,,,,,,
,Bacteria monitoring is conducted by the Massachusetts Dept. of Conservation and Recreation (DCR) during the swimming season.,,,,,
,"Bacteria samples are collected at several locations along the beach, and test results are available 24 hours later.",,,,,
,High bacteria triggers a swimming advisory and repeated sampling until bacteria meet limits.,,,,,
,,,,,,
,"Displayed are Enterococcus bacteria counts, with high counts in red.  The maximum daily limit is 104 counts/100 mL.",,,,,
,A swimming advisory is declared by the DCR for the following day if: ,,,,,
,      ▪  counts exceed 104 counts/100 mL limit at two or more locations;,,,,,
,      ▪  OR if daily rainfall exceeds 2 inches;,,,,,
,      ▪  OR if the 5-day running geometric mean exceeds 35 counts/100 mL (geometric mean of the previous 5 days' samples).,,,,,
,"For daily water quality information, call DCR's beach hotline at 617-626-4972.",,,,,
,"Daily rainfall totals are from the Logan Airport, National Weather Service rain gauge.",,,,,
,All results are reported as counts/100 mL and testing is performed by DCR.,,,,,
,,,,,,
,Swimming advisories will be issued due to either high Enterococcus counts or heavy rainfall.,,,,,
,"Weekly sampling by DCR began May 23, 2023.",,,,,
,,,,,,
,, Daily Rainfall (in.),,Broadway,,South Flag
,,,,,,
,2023-05-23 00:00:00,0,,20,,<10
,2023-05-30 00:00:00,0,,<10,,<10
,2023-06-06 00:00:00,Trace,,<10,,<10
,2023-06-13 00:00:00,0,,<10,,<10
,2023-06-20 00:00:00,Trace,,<10,,<10
,2023-06-27 00:00:00,0.55,,10,,<10
,2023-07-05 00:00:00,0,,<10,,<10
,2023-07-11 00:00:00,0,,41,,<10
,2023-07-18 00:00:00,0,,<10,,10
,2023-07-25 00:00:00,0.88,,<10,,<10
,2023-08-01 00:00:00,0,,<10,,10
,2023-08-08 00:00:00,1.33,,<10,,<10
,2023-08-15 00:00:00,0.64,,63,,20
,2023-08-22 00:00:00,0,,10,,30
