,filename,row,predicted,label
0,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,0,header,header
1,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,1,data,data
2,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,2,data,data
3,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,3,data,data
4,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,4,data,data
5,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,5,data,data
6,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,6,data,data
7,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,7,data,data
8,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,8,data,data
9,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,9,data,data
10,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,10,data,data
11,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,11,data,data
12,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,12,data,data
13,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,13,data,data
14,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,14,data,data
15,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,15,data,data
16,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,16,data,data
17,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,17,data,data
18,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,18,data,data
19,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,19,data,data
20,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,20,data,data
21,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,21,data,data
22,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,22,data,data
23,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,23,data,data
24,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,24,data,data
25,0c79b9a8-fb2f-4909-9abd-067130a9002f.xlsx_2004.csv,25,data,data
26,4eb57a81-63f5-4eff-b549-9dec26630c12.xls_Metadata - Indicators.csv,0,header,header
27,4eb57a81-63f5-4eff-b549-9dec26630c12.xls_Metadata - Indicators.csv,1,data,data
28,01ce7dbc-acc8-4087-ac9a-cecbcd586dc8.xlsx_DOUBLEZIPJULY2000.csv,0,header,header
29,01ce7dbc-acc8-4087-ac9a-cecbcd586dc8.xlsx_DOUBLEZIPJULY2000.csv,1,data,data
30,01ce7dbc-acc8-4087-ac9a-cecbcd586dc8.xlsx_DOUBLEZIPJULY2000.csv,2,data,data
31,01ce7dbc-acc8-4087-ac9a-cecbcd586dc8.xlsx_DOUBLEZIPJULY2000.csv,3,data,data
32,01ce7dbc-acc8-4087-ac9a-cecbcd586dc8.xlsx_DOUBLEZIPJULY2000.csv,4,data,data
33,01ce7dbc-acc8-4087-ac9a-cecbcd586dc8.xlsx_DOUBLEZIPJULY2000.csv,5,data,data
34,01ce7dbc-acc8-4087-ac9a-cecbcd586dc8.xlsx_DOUBLEZIPJULY2000.csv,6,data,data
35,01ce7dbc-acc8-4087-ac9a-cecbcd586dc8.xlsx_DOUBLEZIPJULY2000.csv,7,data,data
